claim_id,policy_id,event_id,date_of_loss,reported_date,peril_type,claim_status,incurred_amount,paid_to_date,snapshot_date
CLM-001039,POL-000276,CYC-2023-01,2023-02-12,2023-02-23,Wind,Closed,546117.53,543785.55,2023-07-08
CLM-001040,POL-001426,CYC-2025-01,2025-02-10,2025-02-12,Riverine Flood,Open,45704.09,0.0,2025-02-12
CLM-001040,POL-001426,CYC-2025-01,2025-02-10,2025-02-12,Riverine Flood,Closed,133714.35,128578.44,2025-03-12
CLM-001041,POL-002416,CYC-2025-01,2025-02-08,2025-02-21,Riverine Flood,Open,96925.61,0.0,2025-02-21
CLM-001042,POL-002283,CYC-2024-02,2024-03-15,2024-03-29,Wind,Open,34397.83,0.0,2024-03-29
CLM-001042,POL-002283,CYC-2024-02,2024-03-15,2024-03-29,Wind,Closed,108830.7,98301.32,2024-06-14
CLM-001043,POL-002312,CYC-2023-02,2023-12-03,2023-12-17,Riverine Flood,Open,48411.69,0.0,2023-12-17
CLM-001044,POL-003607,CYC-2025-01,2025-02-09,2025-02-10,Wind,Open,9949.27,0.0,2025-02-10
CLM-001044,POL-003607,CYC-2025-01,2025-02-09,2025-02-10,Wind,Closed,24385.08,24275.67,2025-05-07
CLM-001045,POL-002368,CYC-2025-01,2025-02-08,2025-02-19,Wind,Open,1927978.68,0.0,2025-02-19
CLM-001045,POL-002368,CYC-2025-01,2025-02-08,2025-02-19,Wind,Closed,3335117.07,2979952.43,2025-04-28
CLM-001046,POL-004940,CYC-2024-01,2024-01-22,2024-01-27,Wind,Open,55623.0,0.0,2024-01-27
CLM-001046,POL-004940,CYC-2024-01,2024-01-22,2024-01-27,Wind,Closed,102336.16,92316.81,2024-03-10
CLM-001047,POL-004352,CYC-2025-01,2025-02-10,2025-02-14,Wind,Open,123190.36,0.0,2025-02-14
CLM-001047,POL-004352,CYC-2025-01,2025-02-10,2025-02-14,Wind,Closed,287728.71,263919.15,2025-07-27
CLM-001048,POL-003678,CYC-2025-01,2025-02-10,2025-02-21,Riverine Flood,Open,46194.49,0.0,2025-02-21
CLM-001049,POL-002676,CYC-2024-02,2024-03-17,2024-03-26,Wind,Open,66243.99,0.0,2024-03-26
CLM-001050,POL-001823,CYC-2025-02,2025-11-27,2025-12-07,Storm Surge,Open,63440.81,0.0,2025-12-07
CLM-001050,POL-001823,CYC-2025-02,2025-11-27,2025-12-07,Storm Surge,Closed,130786.15,114524.43,2026-03-23
CLM-001051,POL-000070,CYC-2025-02,2025-11-29,2025-12-08,Wind,Open,117707.2,0.0,2025-12-08
CLM-001051,POL-000070,CYC-2025-02,2025-11-29,2025-12-08,Wind,Closed,212399.79,192208.1,2026-01-11
CLM-001052,POL-000341,CYC-2025-01,2025-02-09,2025-02-11,Riverine Flood,Open,6008.49,0.0,2025-02-11
CLM-001052,POL-000341,CYC-2025-01,2025-02-09,2025-02-11,Riverine Flood,Closed,12349.6,12037.03,2025-07-25
CLM-001053,POL-000117,CYC-2024-02,2024-03-17,2024-03-27,Riverine Flood,Open,34866.54,0.0,2024-03-27
CLM-001053,POL-000117,CYC-2024-02,2024-03-17,2024-03-27,Riverine Flood,Closed,91790.15,84300.92,2024-05-09
CLM-001054,POL-004522,CYC-2024-02,2024-03-17,2024-03-30,Wind,Open,12546.02,0.0,2024-03-30
CLM-001054,POL-004522,CYC-2024-02,2024-03-17,2024-03-30,Wind,Closed,26618.04,25059.36,2024-07-16
CLM-001055,POL-003626,CYC-2024-02,2024-03-15,2024-03-21,Wind,Open,95462.7,0.0,2024-03-21
CLM-001055,POL-003626,CYC-2024-02,2024-03-15,2024-03-21,Wind,Closed,195253.84,177132.64,2024-07-20
CLM-001056,POL-001227,CYC-2023-02,2023-12-03,2023-12-13,Wind,Open,5190.05,0.0,2023-12-13
CLM-001056,POL-001227,CYC-2023-02,2023-12-03,2023-12-13,Wind,Closed,16605.45,14418.25,2024-01-11
CLM-001057,POL-003104,CYC-2025-01,2025-02-09,2025-02-17,Wind,Open,158023.95,0.0,2025-02-17
CLM-001057,POL-003104,CYC-2025-01,2025-02-09,2025-02-17,Wind,Closed,285795.69,254998.88,2025-04-06
CLM-001058,POL-000669,CYC-2024-02,2024-03-15,2024-03-20,Wind,Open,72062.38,0.0,2024-03-20
CLM-001059,POL-003545,CYC-2024-02,2024-03-15,2024-03-21,Wind,Open,35465.29,0.0,2024-03-21
CLM-001060,POL-003823,CYC-2024-01,2024-01-23,2024-02-03,Riverine Flood,Open,7030.97,0.0,2024-02-03
CLM-001060,POL-003823,CYC-2024-01,2024-01-23,2024-02-03,Riverine Flood,Closed,13260.85,13190.94,2024-04-25
CLM-001061,POL-000946,CYC-2025-02,2025-11-28,2025-12-02,Wind,Open,6253.31,0.0,2025-12-02
CLM-001061,POL-000946,CYC-2025-02,2025-11-28,2025-12-02,Wind,Closed,18068.45,15602.37,2026-04-03
CLM-001062,POL-004293,CYC-2024-02,2024-03-17,2024-03-20,Wind,Open,131733.22,0.0,2024-03-20
CLM-001062,POL-004293,CYC-2024-02,2024-03-17,2024-03-20,Wind,Closed,290747.82,268898.03,2024-04-11
CLM-001063,POL-003420,CYC-2024-02,2024-03-16,2024-03-28,Storm Surge,Open,17747.49,0.0,2024-03-28
CLM-001063,POL-003420,CYC-2024-02,2024-03-16,2024-03-28,Storm Surge,Closed,36774.27,35915.64,2024-07-05
CLM-001064,POL-000967,CYC-2023-02,2023-12-05,2023-12-17,Riverine Flood,Open,47082.66,0.0,2023-12-17
CLM-001064,POL-000967,CYC-2023-02,2023-12-05,2023-12-17,Riverine Flood,Closed,99204.1,92078.14,2024-02-19
CLM-001065,POL-001762,CYC-2023-02,2023-12-03,2023-12-16,Storm Surge,Open,83808.55,0.0,2023-12-16
CLM-001065,POL-001762,CYC-2023-02,2023-12-03,2023-12-16,Storm Surge,Closed,161142.26,149047.39,2024-02-06
CLM-001066,POL-000229,CYC-2023-02,2023-12-04,2023-12-14,Riverine Flood,Open,24024.22,0.0,2023-12-14
CLM-001067,POL-001762,CYC-2023-02,2023-12-04,2023-12-11,Storm Surge,Open,80409.87,0.0,2023-12-11
CLM-001067,POL-001762,CYC-2023-02,2023-12-04,2023-12-11,Storm Surge,Closed,176955.02,170961.36,2024-02-02
CLM-001068,POL-003020,CYC-2024-01,2024-01-24,2024-02-04,Riverine Flood,Open,93612.76,0.0,2024-02-04
CLM-001068,POL-003020,CYC-2024-01,2024-01-24,2024-02-04,Riverine Flood,Closed,212747.66,183324.29,2024-07-29
CLM-001069,POL-002898,CYC-2023-02,2023-12-03,2023-12-10,Riverine Flood,Open,52017.21,0.0,2023-12-10
CLM-001069,POL-002898,CYC-2023-02,2023-12-03,2023-12-10,Riverine Flood,Closed,129601.27,117477.84,2024-01-15
CLM-001070,POL-000990,CYC-2024-01,2024-01-24,2024-02-01,Wind,Open,100928.85,0.0,2024-02-01
CLM-001070,POL-000990,CYC-2024-01,2024-01-24,2024-02-01,Wind,Closed,226076.59,215134.54,2024-02-24
CLM-001071,POL-000070,CYC-2025-02,2025-11-28,2025-12-05,Wind,Open,119591.05,0.0,2025-12-05
CLM-001071,POL-000070,CYC-2025-02,2025-11-28,2025-12-05,Wind,Closed,229551.66,198139.28,2026-01-19
CLM-001072,POL-004889,CYC-2025-01,2025-02-09,2025-02-14,Storm Surge,Open,22629.51,0.0,2025-02-14
CLM-001072,POL-004889,CYC-2025-01,2025-02-09,2025-02-14,Storm Surge,Closed,66516.6,63226.65,2025-06-10
CLM-001073,POL-004147,CYC-2025-02,2025-11-29,2025-12-11,Wind,Open,168645.34,0.0,2025-12-11
CLM-001073,POL-004147,CYC-2025-02,2025-11-29,2025-12-11,Wind,Closed,495564.98,483159.07,2026-06-01
CLM-001074,POL-004003,CYC-2024-01,2024-01-24,2024-02-03,Wind,Open,56796.35,0.0,2024-02-03
CLM-001074,POL-004003,CYC-2024-01,2024-01-24,2024-02-03,Wind,Closed,121683.21,106846.42,2024-04-08
CLM-001075,POL-004846,CYC-2025-01,2025-02-08,2025-02-13,Wind,Open,90686.15,0.0,2025-02-13
CLM-001075,POL-004846,CYC-2025-01,2025-02-08,2025-02-13,Wind,Closed,220363.69,211151.36,2025-03-13
CLM-001076,POL-004477,CYC-2024-02,2024-03-15,2024-03-19,Wind,Open,34646.31,0.0,2024-03-19
CLM-001076,POL-004477,CYC-2024-02,2024-03-15,2024-03-19,Wind,Closed,59950.37,51250.33,2024-04-10
CLM-001077,POL-002878,CYC-2023-02,2023-12-05,2023-12-19,Riverine Flood,Open,65510.37,0.0,2023-12-19
CLM-001077,POL-002878,CYC-2023-02,2023-12-05,2023-12-19,Riverine Flood,Closed,119832.01,103753.75,2024-03-03
CLM-001078,POL-003645,CYC-2024-01,2024-01-22,2024-01-27,Wind,Open,293454.42,0.0,2024-01-27
CLM-001078,POL-003645,CYC-2024-01,2024-01-22,2024-01-27,Wind,Closed,533852.37,480752.92,2024-03-18
CLM-001079,POL-004532,CYC-2024-02,2024-03-16,2024-03-26,Storm Surge,Open,15871.32,0.0,2024-03-26
CLM-001080,POL-000463,CYC-2024-01,2024-01-23,2024-01-27,Riverine Flood,Open,83706.7,0.0,2024-01-27
CLM-001080,POL-000463,CYC-2024-01,2024-01-23,2024-01-27,Riverine Flood,Closed,173207.68,164720.05,2024-04-06
CLM-001081,POL-004911,CYC-2025-01,2025-02-10,2025-02-15,Wind,Open,13232.27,0.0,2025-02-15
CLM-001081,POL-004911,CYC-2025-01,2025-02-10,2025-02-15,Wind,Closed,38248.98,34407.91,2025-07-08
CLM-001082,POL-003145,CYC-2024-02,2024-03-15,2024-03-20,Riverine Flood,Open,31236.75,0.0,2024-03-20
CLM-001082,POL-003145,CYC-2024-02,2024-03-15,2024-03-20,Riverine Flood,Closed,80633.27,71399.63,2024-09-02
CLM-001083,POL-002621,CYC-2024-02,2024-03-17,2024-03-31,Riverine Flood,Open,49789.81,0.0,2024-03-31
CLM-001083,POL-002621,CYC-2024-02,2024-03-17,2024-03-31,Riverine Flood,Closed,147501.51,141230.56,2024-07-29
CLM-001084,POL-000081,CYC-2025-02,2025-11-28,2025-12-04,Wind,Open,147581.51,0.0,2025-12-04
CLM-001084,POL-000081,CYC-2025-02,2025-11-28,2025-12-04,Wind,Closed,263495.73,240869.65,2026-01-15
CLM-001085,POL-000765,CYC-2023-02,2023-12-03,2023-12-11,Riverine Flood,Open,108131.73,0.0,2023-12-11
CLM-001085,POL-000765,CYC-2023-02,2023-12-03,2023-12-11,Riverine Flood,Closed,334193.47,298558.26,2024-05-09
CLM-001086,POL-002395,CYC-2024-01,2024-01-23,2024-01-28,Riverine Flood,Open,2637274.19,0.0,2024-01-28
CLM-001087,POL-002838,CYC-2023-01,2023-02-11,2023-02-25,Wind,Open,106913.05,0.0,2023-02-25
CLM-001088,POL-003309,CYC-2023-01,2023-02-11,2023-02-18,Wind,Open,25529.64,0.0,2023-02-18
CLM-001088,POL-003309,CYC-2023-01,2023-02-11,2023-02-18,Wind,Closed,59606.21,55811.49,2023-06-16
CLM-001089,POL-003448,CYC-2025-01,2025-02-09,2025-02-14,Riverine Flood,Open,55205.99,0.0,2025-02-14
CLM-001090,POL-002130,CYC-2023-02,2023-12-05,2023-12-12,Riverine Flood,Open,101247.07,0.0,2023-12-12
CLM-001090,POL-002130,CYC-2023-02,2023-12-05,2023-12-12,Riverine Flood,Closed,321393.52,299804.24,2024-01-18
CLM-001091,POL-000064,CYC-2025-01,2025-02-09,2025-02-21,Wind,Open,69555.52,0.0,2025-02-21
CLM-001091,POL-000064,CYC-2025-01,2025-02-09,2025-02-21,Wind,Closed,138253.65,127402.57,2025-04-19
CLM-001092,POL-004145,CYC-2025-01,2025-02-08,2025-02-22,Riverine Flood,Open,59483.61,0.0,2025-02-22
CLM-001092,POL-004145,CYC-2025-01,2025-02-08,2025-02-22,Riverine Flood,Closed,130041.62,119441.93,2025-06-14
CLM-001093,POL-003601,CYC-2025-02,2025-11-29,2025-12-05,Riverine Flood,Open,16554.71,0.0,2025-12-05
CLM-001093,POL-003601,CYC-2025-02,2025-11-29,2025-12-05,Riverine Flood,Closed,48890.37,42789.26,2026-02-20
CLM-001094,POL-000659,CYC-2024-02,2024-03-15,2024-03-20,Storm Surge,Open,20625.53,0.0,2024-03-20
CLM-001094,POL-000659,CYC-2024-02,2024-03-15,2024-03-20,Storm Surge,Closed,43808.88,38141.92,2024-07-01
CLM-001095,POL-000761,CYC-2025-01,2025-02-09,2025-02-16,Storm Surge,Open,79760.14,0.0,2025-02-16
CLM-001095,POL-000761,CYC-2025-01,2025-02-09,2025-02-16,Storm Surge,Closed,218911.12,201468.33,2025-04-20
CLM-001096,POL-002064,CYC-2025-01,2025-02-09,2025-02-14,Riverine Flood,Open,6730.85,0.0,2025-02-14
CLM-001096,POL-002064,CYC-2025-01,2025-02-09,2025-02-14,Riverine Flood,Closed,20005.79,17568.57,2025-03-12
CLM-001097,POL-000102,CYC-2025-02,2025-11-29,2025-12-04,Wind,Open,37731.06,0.0,2025-12-04
CLM-001097,POL-000102,CYC-2025-02,2025-11-29,2025-12-04,Wind,Closed,76422.52,68450.51,2026-03-14
CLM-001098,POL-004222,CYC-2024-02,2024-03-17,2024-03-23,Wind,Open,208008.01,0.0,2024-03-23
CLM-001099,POL-003107,CYC-2024-01,2024-01-24,2024-01-31,Wind,Open,38955.9,0.0,2024-01-31
CLM-001099,POL-003107,CYC-2024-01,2024-01-24,2024-01-31,Wind,Closed,76848.23,74418.32,2024-06-24
CLM-001100,POL-004249,CYC-2025-02,2025-11-29,2025-12-12,Storm Surge,Open,49813.19,0.0,2025-12-12
CLM-001101,POL-003650,CYC-2024-02,2024-03-16,2024-03-23,Riverine Flood,Open,41781.53,0.0,2024-03-23
CLM-001101,POL-003650,CYC-2024-02,2024-03-16,2024-03-23,Riverine Flood,Closed,76607.41,75365.99,2024-06-11
CLM-001102,POL-003080,CYC-2024-02,2024-03-16,2024-03-27,Storm Surge,Open,59116.5,0.0,2024-03-27
CLM-001102,POL-003080,CYC-2024-02,2024-03-16,2024-03-27,Storm Surge,Closed,126424.09,124565.86,2024-08-14
CLM-001103,POL-000918,CYC-2025-01,2025-02-10,2025-02-16,Wind,Open,183223.78,0.0,2025-02-16
CLM-001103,POL-000918,CYC-2025-01,2025-02-10,2025-02-16,Wind,Closed,351597.22,337674.29,2025-07-08
CLM-001104,POL-003256,CYC-2024-02,2024-03-16,2024-03-26,Wind,Open,72487.17,0.0,2024-03-26
CLM-001104,POL-003256,CYC-2024-02,2024-03-16,2024-03-26,Wind,Closed,164705.8,148638.49,2024-07-01
CLM-001105,POL-004028,CYC-2025-01,2025-02-09,2025-02-19,Riverine Flood,Open,121718.07,0.0,2025-02-19
CLM-001106,POL-004679,CYC-2024-01,2024-01-24,2024-01-28,Wind,Open,151432.38,0.0,2024-01-28
CLM-001106,POL-004679,CYC-2024-01,2024-01-24,2024-01-28,Wind,Closed,259090.6,257619.97,2024-06-28
CLM-001107,POL-001197,CYC-2023-01,2023-02-11,2023-02-12,Wind,Open,232073.9,0.0,2023-02-12
CLM-001108,POL-001770,CYC-2024-01,2024-01-24,2024-02-04,Wind,Open,55807.08,0.0,2024-02-04
CLM-001108,POL-001770,CYC-2024-01,2024-01-24,2024-02-04,Wind,Closed,106109.31,106011.03,2024-03-13
CLM-001109,POL-004652,CYC-2024-02,2024-03-16,2024-03-29,Wind,Open,36294.37,0.0,2024-03-29
CLM-001109,POL-004652,CYC-2024-02,2024-03-16,2024-03-29,Wind,Closed,113252.3,113033.89,2024-06-15
CLM-001110,POL-001617,CYC-2025-02,2025-11-29,2025-12-09,Storm Surge,Open,24380.72,0.0,2025-12-09
CLM-001110,POL-001617,CYC-2025-02,2025-11-29,2025-12-09,Storm Surge,Closed,43510.9,38583.46,2026-03-31
CLM-001111,POL-000349,CYC-2024-01,2024-01-22,2024-01-30,Wind,Open,397489.61,0.0,2024-01-30
CLM-001111,POL-000349,CYC-2024-01,2024-01-22,2024-01-30,Wind,Closed,769061.01,688187.39,2024-04-11
CLM-001112,POL-001331,CYC-2023-01,2023-02-12,2023-02-17,Riverine Flood,Open,59849.62,0.0,2023-02-17
CLM-001113,POL-004017,CYC-2025-02,2025-11-27,2025-12-09,Riverine Flood,Open,13159.78,0.0,2025-12-09
CLM-001113,POL-004017,CYC-2025-02,2025-11-27,2025-12-09,Riverine Flood,Closed,22683.97,21398.87,2026-01-18
CLM-001114,POL-003213,CYC-2023-02,2023-12-04,2023-12-13,Wind,Open,228018.67,0.0,2023-12-13
CLM-001114,POL-003213,CYC-2023-02,2023-12-04,2023-12-13,Wind,Closed,399667.24,365847.91,2024-05-10
CLM-001115,POL-004676,CYC-2023-02,2023-12-05,2023-12-13,Storm Surge,Open,77017.29,0.0,2023-12-13
CLM-001116,POL-001041,CYC-2023-02,2023-12-05,2023-12-08,Riverine Flood,Open,1634900.45,0.0,2023-12-08
CLM-001117,POL-004428,CYC-2024-02,2024-03-17,2024-03-29,Wind,Open,72710.35,0.0,2024-03-29
CLM-001117,POL-004428,CYC-2024-02,2024-03-17,2024-03-29,Wind,Closed,205672.53,179178.41,2024-09-13
CLM-001118,POL-003299,CYC-2025-01,2025-02-10,2025-02-23,Wind,Open,74286.39,0.0,2025-02-23
CLM-001118,POL-003299,CYC-2025-01,2025-02-10,2025-02-23,Wind,Closed,166064.08,149316.83,2025-05-27
CLM-001119,POL-004752,CYC-2023-02,2023-12-04,2023-12-12,Wind,Open,136538.82,0.0,2023-12-12
CLM-001119,POL-004752,CYC-2023-02,2023-12-04,2023-12-12,Wind,Closed,332055.69,290397.35,2024-02-05
CLM-001120,POL-001955,CYC-2025-02,2025-11-29,2025-12-11,Riverine Flood,Open,82013.27,0.0,2025-12-11
CLM-001120,POL-001955,CYC-2025-02,2025-11-29,2025-12-11,Riverine Flood,Closed,165998.51,148231.78,2026-01-25
CLM-001121,POL-002075,CYC-2024-02,2024-03-15,2024-03-16,Wind,Open,25942.95,0.0,2024-03-16
CLM-001121,POL-002075,CYC-2024-02,2024-03-15,2024-03-16,Wind,Closed,58379.36,50887.72,2024-04-17
CLM-001122,POL-003511,CYC-2024-01,2024-01-23,2024-01-31,Wind,Open,56741.61,0.0,2024-01-31
CLM-001122,POL-003511,CYC-2024-01,2024-01-23,2024-01-31,Wind,Closed,117987.12,113666.2,2024-04-17
CLM-001123,POL-003655,CYC-2024-02,2024-03-15,2024-03-18,Riverine Flood,Open,95941.85,0.0,2024-03-18
CLM-001123,POL-003655,CYC-2024-02,2024-03-15,2024-03-18,Riverine Flood,Closed,237686.12,209534.35,2024-07-30
CLM-001124,POL-004942,CYC-2025-02,2025-11-27,2025-11-30,Riverine Flood,Open,519298.37,0.0,2025-11-30
CLM-001124,POL-004942,CYC-2025-02,2025-11-27,2025-11-30,Riverine Flood,Closed,1553846.42,1408616.3,2025-12-26
CLM-001125,POL-000250,CYC-2025-02,2025-11-27,2025-12-08,Wind,Open,34155.41,0.0,2025-12-08
CLM-001125,POL-000250,CYC-2025-02,2025-11-27,2025-12-08,Wind,Closed,79398.68,72842.61,2026-01-11
CLM-001126,POL-000554,CYC-2025-01,2025-02-10,2025-02-20,Wind,Open,62036.21,0.0,2025-02-20
CLM-001126,POL-000554,CYC-2025-01,2025-02-10,2025-02-20,Wind,Closed,109139.97,98687.92,2025-03-20
CLM-001127,POL-002299,CYC-2023-01,2023-02-11,2023-02-20,Riverine Flood,Open,60306.96,0.0,2023-02-20
CLM-001127,POL-002299,CYC-2023-01,2023-02-11,2023-02-20,Riverine Flood,Closed,118743.33,107169.13,2023-06-19
CLM-001128,POL-001733,CYC-2023-02,2023-12-03,2023-12-13,Riverine Flood,Open,45543.9,0.0,2023-12-13
CLM-001128,POL-001733,CYC-2023-02,2023-12-03,2023-12-13,Riverine Flood,Closed,97897.61,95078.17,2024-02-08
CLM-001129,POL-000135,CYC-2024-01,2024-01-23,2024-01-29,Wind,Open,246739.05,0.0,2024-01-29
CLM-001129,POL-000135,CYC-2024-01,2024-01-23,2024-01-29,Wind,Closed,477944.42,422432.14,2024-04-27
CLM-001130,POL-002635,CYC-2023-02,2023-12-04,2023-12-16,Storm Surge,Open,250240.39,0.0,2023-12-16
CLM-001130,POL-002635,CYC-2023-02,2023-12-04,2023-12-16,Storm Surge,Closed,434886.83,399434.29,2024-04-27
CLM-001131,POL-003104,CYC-2025-02,2025-11-28,2025-12-12,Riverine Flood,Open,14194.93,0.0,2025-12-12
CLM-001131,POL-003104,CYC-2025-02,2025-11-28,2025-12-12,Riverine Flood,Closed,32051.7,29505.37,2026-06-06
CLM-001132,POL-004613,CYC-2023-02,2023-12-05,2023-12-14,Storm Surge,Open,5876.89,0.0,2023-12-14
CLM-001132,POL-004613,CYC-2023-02,2023-12-05,2023-12-14,Storm Surge,Closed,14222.81,12339.03,2024-01-05
CLM-001133,POL-003298,CYC-2025-01,2025-02-10,2025-02-16,Storm Surge,Open,105428.0,0.0,2025-02-16
CLM-001133,POL-003298,CYC-2025-01,2025-02-10,2025-02-16,Storm Surge,Closed,182280.74,179374.26,2025-08-04
CLM-001134,POL-001738,CYC-2023-02,2023-12-04,2023-12-06,Wind,Open,261308.03,0.0,2023-12-06
CLM-001135,POL-004913,CYC-2023-02,2023-12-03,2023-12-04,Wind,Open,726961.19,0.0,2023-12-04
CLM-001135,POL-004913,CYC-2023-02,2023-12-03,2023-12-04,Wind,Closed,1635504.74,1536819.35,2024-04-13
CLM-001136,POL-000568,CYC-2024-01,2024-01-24,2024-02-03,Wind,Open,29711.84,0.0,2024-02-03
CLM-001136,POL-000568,CYC-2024-01,2024-01-24,2024-02-03,Wind,Closed,52435.21,49102.58,2024-07-01
CLM-001137,POL-001533,CYC-2025-01,2025-02-09,2025-02-10,Wind,Open,25997.5,0.0,2025-02-10
CLM-001137,POL-001533,CYC-2025-01,2025-02-09,2025-02-10,Wind,Closed,55563.29,51987.43,2025-03-29
CLM-001138,POL-004328,CYC-2025-01,2025-02-09,2025-02-10,Wind,Open,619217.27,0.0,2025-02-10
CLM-001138,POL-004328,CYC-2025-01,2025-02-09,2025-02-10,Wind,Closed,1294700.21,1169090.11,2025-06-19
CLM-001139,POL-004181,CYC-2024-02,2024-03-16,2024-03-29,Wind,Open,17893.63,0.0,2024-03-29
CLM-001139,POL-004181,CYC-2024-02,2024-03-16,2024-03-29,Wind,Closed,30958.91,28137.76,2024-07-22
CLM-001139,POL-004181,CYC-2024-02,2024-03-16,2024-03-29,Wind,Reopened,32223.03,28132.38,2024-11-04
CLM-001140,POL-001812,CYC-2024-01,2024-01-23,2024-02-06,Wind,Open,60241.0,0.0,2024-02-06
CLM-001141,POL-004189,CYC-2024-01,2024-01-24,2024-02-07,Riverine Flood,Open,56686.68,0.0,2024-02-07
CLM-001141,POL-004189,CYC-2024-01,2024-01-24,2024-02-07,Riverine Flood,Closed,104717.83,98177.74,2024-04-30
CLM-001142,POL-002527,CYC-2024-02,2024-03-16,2024-03-22,Wind,Open,127339.31,0.0,2024-03-22
CLM-001142,POL-002527,CYC-2024-02,2024-03-16,2024-03-22,Wind,Closed,227036.58,217907.22,2024-09-03
CLM-001143,POL-000150,CYC-2025-01,2025-02-08,2025-02-21,Wind,Open,103027.93,0.0,2025-02-21
CLM-001143,POL-000150,CYC-2025-01,2025-02-08,2025-02-21,Wind,Closed,194104.08,184658.29,2025-05-16
CLM-001144,POL-000609,CYC-2025-02,2025-11-27,2025-12-05,Riverine Flood,Open,48258.12,0.0,2025-12-05
CLM-001144,POL-000609,CYC-2025-02,2025-11-27,2025-12-05,Riverine Flood,Closed,134933.42,116900.92,2026-05-15
CLM-001145,POL-003031,CYC-2023-02,2023-12-05,2023-12-08,Wind,Open,16511.78,0.0,2023-12-08
CLM-001145,POL-003031,CYC-2023-02,2023-12-05,2023-12-08,Wind,Closed,36330.19,35257.3,2024-02-05
CLM-001146,POL-000407,CYC-2025-02,2025-11-29,2025-12-08,Wind,Open,18694.82,0.0,2025-12-08
CLM-001146,POL-000407,CYC-2025-02,2025-11-29,2025-12-08,Wind,Closed,55846.82,54717.25,2026-04-02
CLM-001147,POL-000759,CYC-2024-01,2024-01-24,2024-02-02,Wind,Open,27289.72,0.0,2024-02-02
CLM-001147,POL-000759,CYC-2024-01,2024-01-24,2024-02-02,Wind,Closed,82207.7,75476.05,2024-06-24
CLM-001148,POL-000874,CYC-2024-01,2024-01-24,2024-02-04,Storm Surge,Open,100241.96,0.0,2024-02-04
CLM-001148,POL-000874,CYC-2024-01,2024-01-24,2024-02-04,Storm Surge,Closed,209634.67,181120.26,2024-06-19
CLM-001148,POL-000874,CYC-2024-01,2024-01-24,2024-02-04,Storm Surge,Reopened,238523.72,191240.04,2024-09-24
CLM-001149,POL-003203,CYC-2024-02,2024-03-16,2024-03-30,Wind,Open,38359.94,0.0,2024-03-30
