policy_id,insurer_name,postcode,region_name,wind_risk_band,building_type,sum_insured,mitigation_flag,annual_premium,policy_start_date,policy_end_date,broker_code
POL-004044,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,Home,808761,Roof Tie-Down,2853.44,2024-10-25,2025-10-25,BRK-2071
POL-004045,Pacific Rim Insurance,6721,Port Hedland WA,T-W,Home,628599,Roof Tie-Down,5353.96,2023-01-05,2024-01-05,BRK-1042
POL-004046,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Home,439736,,2871.35,2024-04-02,2025-04-02,
POL-004047,Southern Cross Insurance,850,Alice Springs NT,B-F,Home,302208,,557.73,2024-10-19,2025-10-19,
POL-004048,Coral Coast Mutual,810,Darwin NT,T-W,Home,356614,Roof Tie-Down,3012.75,2023-06-03,2024-06-02,BRK-2071
POL-004049,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,287883,,2731.28,2023-06-25,2024-06-24,BRK-3390
POL-004050,Northbeam General,4870,Cairns QLD,T-W,Home,611370,,5400.57,2023-07-05,2024-07-04,BRK-1042
POL-004051,Pacific Rim Insurance,4350,Toowoomba QLD,B-F,SME,1284245,Elevated Slab,2090.98,2024-10-11,2025-10-11,
POL-004052,Northbeam General,4870,Cairns QLD,T-W,Home,264302,,2652.71,2024-05-25,2025-05-25,BRK-1042
POL-004053,Outback Assurance Group,4870,Cairns QLD,T-W,Strata,4898449,,50301.82,2024-10-28,2025-10-28,
POL-004054,Coral Coast Mutual,810,Darwin NT,T-W,Home,723151,,6682.36,2024-04-25,2025-04-25,BRK-1042
POL-004055,Coral Coast Mutual,4870,Cairns QLD,T-W,SME,785966,Shutters Installed,6736.06,2025-02-19,2026-02-19,
POL-004056,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,876588,,8106.87,2024-02-22,2025-02-21,BRK-2071
POL-004057,Coral Coast Mutual,6000,Perth WA,B-F,Home,766892,Elevated Slab,1241.16,2024-01-06,2025-01-05,BRK-4118
POL-004058,Outback Assurance Group,6000,Perth WA,B-F,Strata,7541621,Shutters Installed,12056.89,2023-10-15,2024-10-14,
POL-004059,Pacific Rim Insurance,4879,Innisfail QLD,T-W,SME,2156713,,19890.24,2025-06-13,2026-06-13,BRK-4118
POL-004060,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,SME,2525155,,15423.11,2023-10-31,2024-10-30,BRK-3390
POL-004061,Northbeam General,4350,Toowoomba QLD,B-F,SME,2694421,,5281.31,2024-10-07,2025-10-07,BRK-4118
POL-004062,Coral Coast Mutual,4879,Innisfail QLD,T-W,SME,2042644,Shutters Installed,17582.55,2024-06-14,2025-06-14,
POL-004063,Outback Assurance Group,4350,Toowoomba QLD,B-F,Home,733103,,1312.4,2024-06-21,2025-06-21,BRK-4118
POL-004064,Outback Assurance Group,4870,Cairns QLD,T-W,Strata,6877601,,61988.07,2025-03-02,2026-03-02,BRK-3390
POL-004065,Outback Assurance Group,4810,Townsville QLD,T-W,Home,514054,,4688.92,2025-06-11,2026-06-11,BRK-3390
POL-004066,Coral Coast Mutual,4810,Townsville QLD,T-W,SME,532849,,4916.31,2025-02-20,2026-02-20,BRK-2071
POL-004067,Coral Coast Mutual,6714,Karratha WA,T-W,SME,533718,Elevated Slab,4392.42,2024-06-28,2025-06-28,BRK-2071
POL-004068,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Home,258588,,988.57,2023-07-21,2024-07-20,BRK-2071
POL-004069,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Strata,14725304,,89897.93,2023-02-16,2024-02-16,BRK-1042
POL-004070,Coral Coast Mutual,4737,Bowen QLD,Q-S,Home,398770,,2770.61,2024-08-27,2025-08-27,
POL-004071,Southern Cross Insurance,6000,Perth WA,B-F,Home,255019,,435.32,2025-08-05,2026-08-05,BRK-3390
POL-004072,Northbeam General,4825,Mount Isa QLD,B-F,Home,618222,Shutters Installed,872.09,2023-02-09,2024-02-09,
POL-004073,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,443977,Shutters Installed,3914.53,2023-04-07,2024-04-06,BRK-4118
POL-004074,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,396034,,2784.72,2024-09-02,2025-09-02,BRK-3390
POL-004075,Southern Cross Insurance,4350,Toowoomba QLD,B-F,SME,1786686,,3015.41,2025-03-27,2026-03-27,BRK-4118
POL-004076,Northbeam General,800,Darwin NT,T-W,Home,854089,,7349.83,2025-06-08,2026-06-08,BRK-3390
POL-004077,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Home,527025,,2058.11,2024-03-20,2025-03-20,
POL-004078,Northbeam General,4700,Rockhampton QLD,Q-S,SME,614381,Shutters Installed,3410.46,2024-05-22,2025-05-22,BRK-1042
POL-004079,Southern Cross Insurance,4720,Charters Towers QLD,L-P,Home,617103,,2513.33,2023-12-17,2024-12-16,BRK-1042
POL-004080,Southern Cross Insurance,6000,Perth WA,B-F,Home,292968,Elevated Slab,474.97,2025-04-23,2026-04-23,
POL-004081,Coral Coast Mutual,4802,Townsville QLD,T-W,Home,749789,Roof Tie-Down,6255.03,2025-08-03,2026-08-03,BRK-4118
POL-004082,Southern Cross Insurance,4680,Gladstone QLD,L-P,SME,1322409,Shutters Installed,4899.11,2024-12-16,2025-12-16,BRK-2071
POL-004083,Northbeam General,4879,Innisfail QLD,T-W,Home,362882,Roof Tie-Down,2880.89,2023-07-24,2024-07-23,BRK-3390
POL-004084,Coral Coast Mutual,4737,Bowen QLD,Q-S,Home,397217,Roof Tie-Down,2346.43,2024-11-14,2025-11-14,BRK-2071
POL-004085,Southern Cross Insurance,850,Alice Springs NT,B-F,Home,424887,Elevated Slab,684.02,2023-09-21,2024-09-20,BRK-4118
POL-004086,Outback Assurance Group,4700,Rockhampton QLD,Q-S,SME,1480195,Roof Tie-Down,8220.14,2024-06-07,2025-06-07,BRK-4118
POL-004087,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,Home,312086,,1290.81,2023-08-28,2024-08-27,BRK-1042
POL-004088,Coral Coast Mutual,4810,Townsville QLD,T-W,SME,1385121,Shutters Installed,12130.97,2024-09-04,2025-09-04,BRK-1042
POL-004089,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,312197,,540.69,2023-02-03,2024-02-03,
POL-004090,Outback Assurance Group,4810,Townsville QLD,T-W,SME,924467,,9510.29,2024-12-21,2025-12-21,
POL-004091,Coral Coast Mutual,4737,Bowen QLD,Q-S,Home,431658,,3059.57,2023-08-09,2024-08-08,BRK-3390
POL-004092,Coral Coast Mutual,4350,Toowoomba QLD,B-F,SME,2732257,,4948.15,2023-02-09,2024-02-09,BRK-3390
POL-004093,Northbeam General,4720,Charters Towers QLD,L-P,Home,555924,,2405.03,2023-02-28,2024-02-28,BRK-3390
POL-004094,Northbeam General,4680,Gladstone QLD,L-P,Home,562244,Shutters Installed,1953.53,2025-05-29,2026-05-29,
POL-004095,Outback Assurance Group,4825,Cloncurry QLD,B-F,Home,362267,,619.0,2023-05-16,2024-05-15,BRK-4118
POL-004096,Southern Cross Insurance,4680,Gladstone QLD,L-P,SME,2356887,Elevated Slab,7883.67,2024-09-16,2025-09-16,
POL-004097,Coral Coast Mutual,800,Darwin NT,T-W,SME,501849,Shutters Installed,4253.83,2024-10-05,2025-10-05,BRK-4118
POL-004098,Outback Assurance Group,4703,Rockhampton QLD,Q-S,SME,1251960,,8376.82,2023-09-12,2024-09-11,BRK-1042
POL-004099,Northbeam General,4810,Townsville QLD,T-W,Home,338663,,3466.06,2024-12-03,2025-12-03,BRK-1042
POL-004100,Northbeam General,4802,Townsville QLD,T-W,Home,362410,Roof Tie-Down,2821.51,2024-02-22,2025-02-21,BRK-3390
POL-004101,Coral Coast Mutual,4802,Townsville QLD,T-W,Home,740418,,7181.62,2024-02-04,2025-02-03,BRK-4118
POL-004102,Outback Assurance Group,4825,Mount Isa QLD,B-F,Strata,4713273,Shutters Installed,7224.63,2025-05-12,2026-05-12,BRK-1042
POL-004103,Northbeam General,810,Darwin NT,T-W,SME,624710,Roof Tie-Down,5277.75,2024-05-15,2025-05-15,BRK-1042
POL-004104,Southern Cross Insurance,4810,Townsville QLD,T-W,Home,826659,Roof Tie-Down,6336.42,2024-08-03,2025-08-03,BRK-3390
POL-004105,Southern Cross Insurance,6714,Karratha WA,T-W,Home,706287,,7082.81,2023-04-27,2024-04-26,
POL-004106,Coral Coast Mutual,4680,Gladstone QLD,L-P,Home,723139,,3029.48,2024-03-28,2025-03-28,BRK-4118
POL-004107,Southern Cross Insurance,4680,Gladstone QLD,L-P,SME,739634,,3027.66,2023-07-21,2024-07-20,BRK-3390
POL-004108,Outback Assurance Group,6000,Perth WA,B-F,Home,436207,Roof Tie-Down,601.44,2025-03-05,2026-03-05,BRK-4118
POL-004109,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,892690,,3400.02,2023-08-07,2024-08-06,BRK-3390
POL-004110,Outback Assurance Group,4680,Gladstone QLD,L-P,SME,1726274,Roof Tie-Down,6166.49,2024-04-08,2025-04-08,BRK-1042
POL-004111,Northbeam General,4740,Mackay QLD,Q-S,Home,535423,,3138.15,2025-03-10,2026-03-10,BRK-4118
POL-004112,Pacific Rim Insurance,6000,Perth WA,B-F,Home,614889,,1062.0,2023-03-12,2024-03-11,BRK-3390
POL-004113,Northbeam General,810,Darwin NT,T-W,Home,779518,Elevated Slab,5786.33,2023-03-19,2024-03-18,BRK-2071
POL-004114,Coral Coast Mutual,4825,Cloncurry QLD,B-F,SME,700609,Elevated Slab,975.13,2025-02-07,2026-02-07,
POL-004115,Northbeam General,800,Darwin NT,T-W,Home,313026,Shutters Installed,2325.75,2023-11-14,2024-11-13,BRK-1042
POL-004116,Northbeam General,810,Darwin NT,T-W,Home,823471,Shutters Installed,6209.41,2025-03-26,2026-03-26,BRK-4118
POL-004117,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Home,456555,,3077.49,2023-03-20,2024-03-19,BRK-1042
POL-004118,Southern Cross Insurance,4720,Charters Towers QLD,L-P,Home,681043,,2701.49,2025-05-11,2026-05-11,BRK-2071
POL-004119,Outback Assurance Group,4350,Toowoomba QLD,B-F,Home,340128,,630.42,2024-12-19,2025-12-19,BRK-3390
POL-004120,Coral Coast Mutual,4350,Toowoomba QLD,B-F,SME,2353944,,4448.18,2024-08-29,2025-08-29,BRK-2071
POL-004121,Southern Cross Insurance,850,Alice Springs NT,B-F,Home,294817,Roof Tie-Down,408.05,2023-05-13,2024-05-12,BRK-2071
POL-004122,Southern Cross Insurance,6000,Perth WA,B-F,SME,611200,Roof Tie-Down,1022.39,2025-07-24,2026-07-24,BRK-4118
POL-004123,Southern Cross Insurance,4737,Bowen QLD,Q-S,Home,837861,Shutters Installed,4504.36,2025-03-24,2026-03-24,BRK-4118
POL-004124,Pacific Rim Insurance,4825,Cloncurry QLD,B-F,SME,1156247,Shutters Installed,1668.82,2023-01-07,2024-01-07,BRK-4118
POL-004125,Coral Coast Mutual,4680,Gladstone QLD,L-P,Home,862516,Roof Tie-Down,3235.28,2024-09-29,2025-09-29,BRK-1042
POL-004126,Pacific Rim Insurance,6721,Port Hedland WA,T-W,Home,690732,,6700.42,2023-05-26,2024-05-25,BRK-2071
POL-004127,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Home,370464,Elevated Slab,1349.02,2024-04-09,2025-04-09,BRK-4118
POL-004128,Pacific Rim Insurance,850,Alice Springs NT,B-F,Home,371979,Elevated Slab,590.54,2024-11-22,2025-11-22,BRK-4118
POL-004129,Outback Assurance Group,4720,Charters Towers QLD,L-P,Home,696333,Roof Tie-Down,2356.9,2023-12-29,2024-12-28,
POL-004130,Pacific Rim Insurance,800,Darwin NT,T-W,Home,650223,Elevated Slab,5695.45,2024-03-27,2025-03-27,BRK-3390
POL-004131,Northbeam General,4350,Toowoomba QLD,B-F,Strata,10294972,Elevated Slab,14829.77,2023-04-11,2024-04-10,BRK-2071
POL-004132,Northbeam General,4825,Cloncurry QLD,B-F,SME,1601649,,3069.3,2023-02-17,2024-02-17,BRK-4118
POL-004133,Southern Cross Insurance,810,Darwin NT,T-W,Home,552713,,5426.38,2025-09-11,2026-09-11,
POL-004134,Northbeam General,6721,Port Hedland WA,T-W,Home,649783,Elevated Slab,4906.9,2024-03-10,2025-03-10,BRK-3390
POL-004135,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Home,365815,,2174.08,2024-04-13,2025-04-13,BRK-4118
POL-004136,Pacific Rim Insurance,800,Darwin NT,T-W,SME,828935,Roof Tie-Down,6525.76,2023-10-30,2024-10-29,BRK-3390
POL-004137,Outback Assurance Group,4350,Toowoomba QLD,B-F,Home,807700,Elevated Slab,1294.39,2023-08-01,2024-07-31,BRK-4118
POL-004138,Pacific Rim Insurance,6000,Perth WA,B-F,Home,657160,,1138.69,2024-07-05,2025-07-05,BRK-2071
POL-004139,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,Home,272908,,1081.21,2024-07-18,2025-07-18,BRK-2071
POL-004140,Northbeam General,4350,Toowoomba QLD,B-F,Home,480570,Shutters Installed,733.28,2024-09-09,2025-09-09,BRK-1042
POL-004141,Northbeam General,4655,Hervey Bay QLD,L-P,SME,730334,,3230.29,2024-08-13,2025-08-13,BRK-2071
POL-004142,Northbeam General,810,Darwin NT,T-W,SME,2890825,,25340.59,2024-10-21,2025-10-21,BRK-2071
POL-004143,Southern Cross Insurance,850,Alice Springs NT,B-F,Strata,12037978,Elevated Slab,17397.94,2023-03-07,2024-03-06,BRK-2071
POL-004144,Pacific Rim Insurance,6000,Perth WA,B-F,Home,402204,,735.41,2023-03-25,2024-03-24,BRK-2071
POL-004145,Northbeam General,4737,Bowen QLD,Q-S,Home,544404,,3524.34,2024-06-15,2025-06-15,BRK-1042
POL-004146,Outback Assurance Group,4870,Cairns QLD,T-W,Home,861727,Roof Tie-Down,7337.93,2025-08-26,2026-08-26,BRK-4118
POL-004147,Pacific Rim Insurance,4740,Mackay QLD,Q-S,SME,2279885,,14895.78,2025-01-16,2026-01-16,
POL-004148,Pacific Rim Insurance,6000,Perth WA,B-F,SME,1594787,,2917.49,2024-04-04,2025-04-04,BRK-2071
POL-004149,Southern Cross Insurance,4810,Townsville QLD,T-W,Home,391370,Roof Tie-Down,2911.57,2023-05-08,2024-05-07,BRK-3390
POL-004150,Pacific Rim Insurance,6000,Perth WA,B-F,Home,602061,Elevated Slab,1011.03,2023-12-31,2024-12-30,BRK-3390
POL-004151,Southern Cross Insurance,800,Darwin NT,T-W,Home,356960,,3726.77,2025-07-01,2026-07-01,BRK-1042
POL-004152,Southern Cross Insurance,4879,Innisfail QLD,T-W,Home,578605,Shutters Installed,4584.75,2023-09-07,2024-09-06,BRK-2071
POL-004153,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,875347,Roof Tie-Down,7013.29,2025-09-05,2026-09-05,BRK-4118
POL-004154,Coral Coast Mutual,4680,Gladstone QLD,L-P,Home,684548,Roof Tie-Down,2249.97,2024-09-03,2025-09-03,
POL-004155,Pacific Rim Insurance,4810,Townsville QLD,T-W,Home,837783,,7970.27,2023-04-01,2024-03-31,BRK-3390
POL-004156,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Home,868636,,5813.56,2025-06-27,2026-06-27,
POL-004157,Northbeam General,4740,Mackay QLD,Q-S,Home,424786,,2870.28,2023-04-27,2024-04-26,
POL-004158,Northbeam General,4870,Cairns QLD,T-W,Home,767736,Elevated Slab,6011.08,2025-03-25,2026-03-25,BRK-3390
POL-004159,Northbeam General,800,Darwin NT,T-W,Home,453916,,4244.58,2023-05-04,2024-05-03,BRK-2071
POL-004160,Southern Cross Insurance,4825,Mount Isa QLD,B-F,Home,595424,,1021.98,2023-02-07,2024-02-07,
POL-004161,Pacific Rim Insurance,6721,Port Hedland WA,T-W,SME,1417842,,13405.44,2023-06-17,2024-06-16,
POL-004162,Outback Assurance Group,4680,Gladstone QLD,L-P,SME,1796318,Elevated Slab,6417.37,2023-12-16,2024-12-15,BRK-1042
POL-004163,Northbeam General,4350,Toowoomba QLD,B-F,SME,2699144,,5109.65,2023-05-07,2024-05-06,BRK-4118
POL-004164,Northbeam General,850,Alice Springs NT,B-F,SME,1313633,,2413.61,2023-06-07,2024-06-06,
POL-004165,Southern Cross Insurance,6714,Karratha WA,T-W,SME,843930,,7917.83,2023-10-06,2024-10-05,BRK-4118
POL-004166,Coral Coast Mutual,4810,Townsville QLD,T-W,SME,2738959,Roof Tie-Down,23800.58,2023-03-10,2024-03-09,BRK-4118
POL-004167,Northbeam General,850,Alice Springs NT,B-F,SME,845828,,1619.59,2023-07-06,2024-07-05,BRK-4118
POL-004168,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,SME,2673312,Roof Tie-Down,9343.62,2024-08-08,2025-08-08,BRK-4118
POL-004169,Coral Coast Mutual,6000,Perth WA,B-F,Home,468008,Roof Tie-Down,748.04,2024-07-22,2025-07-22,BRK-1042
POL-004170,Northbeam General,6714,Karratha WA,T-W,Home,478199,Shutters Installed,4074.59,2024-09-09,2025-09-09,BRK-4118
POL-004171,Coral Coast Mutual,4870,Cairns QLD,T-W,SME,2907421,,27067.77,2024-11-08,2025-11-08,BRK-4118
POL-004172,Pacific Rim Insurance,4810,Townsville QLD,T-W,Home,570711,,5272.51,2025-03-18,2026-03-18,BRK-1042
POL-004173,Pacific Rim Insurance,4825,Cloncurry QLD,B-F,Home,283670,,516.98,2025-02-06,2026-02-06,BRK-2071
POL-004174,Northbeam General,4810,Townsville QLD,T-W,SME,2333164,,22091.71,2025-03-06,2026-03-06,BRK-1042
POL-004175,Southern Cross Insurance,6714,Karratha WA,T-W,SME,789850,,7381.32,2024-06-04,2025-06-04,BRK-2071
POL-004176,Outback Assurance Group,4825,Mount Isa QLD,B-F,SME,2373288,Shutters Installed,3407.53,2024-03-15,2025-03-15,BRK-4118
POL-004177,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,752081,Roof Tie-Down,6263.58,2024-12-24,2025-12-24,BRK-2071
POL-004178,Northbeam General,4870,Cairns QLD,T-W,SME,956181,Roof Tie-Down,7953.5,2024-10-23,2025-10-23,BRK-1042
POL-004179,Outback Assurance Group,6000,Perth WA,B-F,Home,490683,,938.12,2023-03-04,2024-03-03,BRK-3390
POL-004180,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,577859,Shutters Installed,850.27,2023-01-15,2024-01-15,
POL-004181,Pacific Rim Insurance,4825,Cloncurry QLD,B-F,Home,554285,,951.51,2023-10-31,2024-10-30,BRK-1042
POL-004182,Northbeam General,6000,Perth WA,B-F,Home,282314,,473.34,2023-10-14,2024-10-13,BRK-1042
POL-004183,Southern Cross Insurance,4680,Gladstone QLD,L-P,Home,710553,,2931.41,2024-12-19,2025-12-19,BRK-1042
POL-004184,Coral Coast Mutual,800,Darwin NT,T-W,SME,673156,,7008.74,2024-03-02,2025-03-02,
POL-004185,Northbeam General,4870,Cairns QLD,T-W,Home,358055,,3271.54,2023-12-26,2024-12-25,BRK-2071
POL-004186,Coral Coast Mutual,4810,Townsville QLD,T-W,Home,451872,,4264.84,2023-11-24,2024-11-23,
POL-004187,Southern Cross Insurance,810,Darwin NT,T-W,Home,347872,Shutters Installed,2912.65,2024-09-30,2025-09-30,BRK-1042
POL-004188,Southern Cross Insurance,4720,Charters Towers QLD,L-P,Strata,3276633,Roof Tie-Down,12089.21,2025-04-21,2026-04-21,BRK-3390
POL-004189,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,585046,Shutters Installed,4834.32,2023-07-05,2024-07-04,
POL-004190,Outback Assurance Group,4802,Townsville QLD,T-W,Strata,4927616,Roof Tie-Down,37736.21,2024-01-27,2025-01-26,BRK-1042
POL-004191,Northbeam General,4879,Innisfail QLD,T-W,Home,693994,,6724.73,2025-03-04,2026-03-04,BRK-1042
POL-004192,Southern Cross Insurance,4802,Townsville QLD,T-W,Home,652363,Shutters Installed,4839.31,2023-09-14,2024-09-13,BRK-2071
POL-004193,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,451195,,829.83,2023-01-17,2024-01-17,
POL-004194,Northbeam General,4350,Toowoomba QLD,B-F,SME,1576261,Shutters Installed,2485.82,2025-05-29,2026-05-29,BRK-4118
POL-004195,Coral Coast Mutual,6721,Port Hedland WA,T-W,Home,436305,Elevated Slab,3531.89,2023-07-12,2024-07-11,BRK-2071
POL-004196,Northbeam General,4879,Innisfail QLD,T-W,Home,792525,,7587.41,2023-08-24,2024-08-23,BRK-3390
POL-004197,Pacific Rim Insurance,6000,Perth WA,B-F,Home,802400,Elevated Slab,1198.51,2025-07-13,2026-07-13,BRK-3390
POL-004198,Coral Coast Mutual,6000,Perth WA,B-F,SME,1918217,,3668.2,2023-06-29,2024-06-28,
POL-004199,Southern Cross Insurance,4350,Toowoomba QLD,B-F,SME,960152,Roof Tie-Down,1485.04,2023-12-18,2024-12-17,BRK-3390
POL-004200,Northbeam General,4737,Bowen QLD,Q-S,Home,272763,Shutters Installed,1530.41,2023-12-22,2024-12-21,BRK-4118
POL-004201,Outback Assurance Group,4825,Cloncurry QLD,B-F,Home,641347,,1179.54,2025-06-19,2026-06-19,BRK-1042
POL-004202,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,884440,Elevated Slab,7675.53,2024-03-08,2025-03-08,BRK-1042
POL-004203,Coral Coast Mutual,6714,Karratha WA,T-W,Home,743170,,6925.77,2023-02-15,2024-02-15,BRK-4118
POL-004204,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,461192,,2700.69,2025-02-19,2026-02-19,BRK-4118
POL-004205,Coral Coast Mutual,4802,Townsville QLD,T-W,Home,783367,Roof Tie-Down,6894.42,2023-08-06,2024-08-05,BRK-4118
POL-004206,Outback Assurance Group,6721,Port Hedland WA,T-W,SME,2085964,,20478.38,2024-06-12,2025-06-12,BRK-4118
